"Product","Category"
"staple","staple"
"fruit and veg","fruit and veg"
"beans","beans"
"cooking ingredient","cooking ingredient"
"meat alternative","meat alternative"
"dairy alternative","dairy alternative"
"drink","drink"
"dessert","dessert"
"bakery","bakery"
"sandwich filling","sandwich filling"
"snack","snack"
"bathroom","bathroom"
"other food","other food"
"other non-food","other non-food"
"soup","other food"
"nuts","snack"
"sauce","cooking ingredient"
"fruit","fruit and veg"
"vegetable","fruit and veg"
"oat milk","dairy alternative"
"oat yoghurt","dairy alternative"
"olive oil","cooking ingredient"
"pasta","staple"
"croissant","bakery"
"sauerkraut","fruit and veg"
"soya mince","meat alternative"
"clementines","fruit and veg"
"berry pies","dessert"
"biscuits","snack"
"broccoli","fruit and veg"
"tomatoes","fruit and veg"
"onions","fruit and veg"
"passata","cooking ingredient"
"bread","bakery"
"hummus","sandwich filling"
"soya slices","sandwich filling"
"confetti","other non-food"
"flowers","other non-food"
"glögi","drink"
"crisps","snack"
"apple pies","dessert"
"doughnut","bakery"
"karelian pies","bakery"
"naan bread","bakery"
"beetroot salad","fruit and veg"
"sausages","meat alternative"
"baked beans","beans"
"chickpeas","beans"
"pizza","other food"
"falafel and potato salad","fruit and veg"
"restaurant","other food"
"tissues","other non-food"
"lettuce","fruit and veg"
"tortilla","staple"
"falafel","meat alternative"
"red pepper","fruit and veg"
"spices","cooking ingredient"
"peas","fruit and veg"
"muesli bars","snack"
"cereal","staple"
"pastry","bakery"
"tea","drink"
"margerine","sandwich filling"
"marmalade","sandwich filling"
"cream cheese","sandwich filling"
"tofu","meat alternative"
"eggplant","fruit and veg"
"chocolate","snack"
"shaving cream","bathroom"
"face masks","other non-food"
"light bulb","other non-food"
"plastic bag","other non-food"
"book","other non-food"
"coffee","drink"
"beer","drink"
"can deposit","drink"
"chips","staple"
"rolls","bakery"
"burgers","meat alternative"
"bacon","meat alternative"
"cheese","dairy alternative"
"liquid soap","bathroom"
"olives","fruit and veg"
"cake","dessert"
"toilet rolls","bathroom"
"peppers","fruit and veg"
"bin bags","other non-food"
"air freshener","bathroom"
"soap","bathroom"
"sweets","snack"
"honey","sandwich filling"
"apples","fruit and veg"
"majonaise","cooking ingredient"
"courgette","fruit and veg"
"yoghurt","dairy alternative"
"soft drink","drink"
"bottle deposit","drink"
"vegetable balls","meat alternative"
"cucumber","fruit and veg"
"vinagre","cooking ingredient"
"moisturiser","bathroom"
"licourice","snack"
"card","other non-food"
"wine","drink"
"spread","sandwich filling"
"rice","staple"
"pesto","cooking ingredient"
"tempe","meat alternative"
"figs","fruit and veg"
"chewing gum","snack"
"floss","bathroom"
"mämmi","dessert"
"glue","other non-food"
"medicine","other non-food"
"lunch","other food"
"laundry detergent","bathroom"
"pen","other non-food"
"sticky tape","other non-food"
"antigen test","other non-food"
"fruit pies","dessert"
"garlic bread","bakery"
"burger","meat alternative"
"milk","dairy alternative"
"dinner","other food"
"candied ginger","snack"
"soya cutlet","meat alternative"
"vegetables","fruit and veg"
"cocoa","drink"
"sundried tomatoes","fruit and veg"
"juice","drink"
"cola","drink"
"toothpaste","bathroom"
"chocolate bar","snack"
"spring onions","fruit and veg"
"meal","other food"
"spring rolls","other food"
"popcorn","snack"
"water","drink"
"starters","other food"
"vegetable cutlets","meat alternative"
"carrots","fruit and veg"
"buns","bakery"
"deposit return","drink"
"bleach","bathroom"
"noodles","staple"
"jam","sandwich filling"
"reservation","other non-food"
"calzone","other food"
"cards","other non-food"
"breakfast cereal","staple"
"sourcream","dairy alternative"
"salad","fruit and veg"
"figurine","other non-food"
"sandwich","other food"
"baking paper","other non-food"
"clothes softener","bathroom"
"fudge","snack"
"pepper","fruit and veg"
"guacamole","cooking ingredient"
"ice cream","dessert"
"roll","bakery"
"pie","dessert"
"toilet freshener","bathroom"
"gherkins","fruit and veg"
"cauliflower","fruit and veg"
"pasatta","cooking ingredient"
"gherkin","fruit and veg"
"soya meat","meat alternative"
"bag","other non-food"
"peanut butter","sandwich filling"
"pears","fruit and veg"
"macaroni","staple"
"ravioli","staple"
"toilet paper","bathroom"
"washing up liquid","bathroom"
"bagel","bakery"
"pitabread","bakery"
"apple","fruit and veg"
"sugar snaps","fruit and veg"
"mustard","cooking ingredient"
"oat sourcream","dairy alternative"
"shoes","other non-food"
"mushroom starter kit","other non-food"
"pancake waffle mix","bakery"
"syrup","cooking ingredient"
"potatoes","staple"
"reflectors","other non-food"
"cup","other non-food"
"string","other non-food"
"decoration","other non-food"
"trousers","other non-food"
"cosmetics","bathroom"
"torch","other non-food"
"glass","other non-food"
"puzzle","other non-food"
"socks","other non-food"
"box","other non-food"
"paper","other non-food"
