"Product","Category"
"general","general"
"pastic","plastic"
"compost","compast"
"returnables","returnables"
"metal","metal"
"glass","glass"
"card","card"
"paper","paper"
"oat milk","card"
"oat yoghurt","plastic"
"soup","metal"
"olive oil","plastic"
"nuts","general"
"pasta","plastic"
"croissant","general"
"sauerkraut","plastic"
"soya mince","general"
"clementines","general"
"berry pies","plastic"
"biscuits","card"
"broccoli","compast"
"beans","card"
"tomatoes","plastic"
"onions","compast"
"passata","card"
"bread","general"
"hummus","plastic"
"soya slices","plastic"
"confetti","paper"
"flowers","compast"
"glögi","card"
"crisps","general"
"apple pies","plastic"
"doughnut","general"
"karelian pies","general"
"naan bread","general"
"beetroot salad","plastic"
"sausages","general"
"baked beans","card"
"chickpeas","card"
"pizza","card"
"falafel and potato salad","plastic"
"restaurant","general"
"tissues","general"
"lettuce","compast"
"tortilla","general"
"falafel","plastic"
"red pepper","compast"
"spices","general"
"peas","general"
"muesli bars","card"
"cereal","card"
"pastry","general"
"tea","compast"
"margerine","plastic"
"marmalade","plastic"
"cream cheese","plastic"
"tofu","general"
"eggplant","compast"
"chocolate","general"
"shaving cream","plastic"
"face masks","general"
"light bulb","general"
"plastic bag","general"
"book","paper"
"coffee","compast"
"beer","returnables"
"can deposit","returnables"
"chips","general"
"rolls","general"
"burgers","plastic"
"bacon","plastic"
"cheese","general"
"liquid soap","plastic"
"olives","general"
"cake","plastic"
"toilet rolls","card"
"peppers","compast"
"bin bags","general"
"air freshener","plastic"
"soap","card"
"sweets","general"
"honey","plastic"
"apples","compast"
"majonaise","plastic"
"courgette","compast"
"yoghurt","plastic"
"soft drink","returnables"
"bottle deposit","returnables"
"vegetable balls","plastic"
"cucumber","compast"
"vinagre","plastic"
"moisturiser","plastic"
"licourice","general"
"wine","card"
"spread","plastic"
"rice","card"
"pesto","plastic"
"tempe","card"
"figs","general"
"chewing gum","general"
"floss","plastic"
"mämmi","general"
"glue","general"
"medicine","general"
"lunch","general"
"laundry detergent","card"
"pen","general"
"sticky tape","general"
"antigen test","general"
"drink","returnables"
"fruit pies","plastic"
"garlic bread","general"
"burger","plastic"
"milk","card"
"dinner","general"
"sauce","card"
"candied ginger","card"
"soya cutlet","plastic"
"vegetables","compast"
"cocoa","plastic"
"sundried tomatoes","general"
"juice","card"
"cola","returnables"
"toothpaste","plastic"
"chocolate bar","card"
"spring onions","compast"
"meal","general"
"spring rolls","card"
"popcorn","general"
"water","returnables"
"dessert","plastic"
"starters","general"
"vegetable cutlets","plastic"
"carrots","compast"
"buns","general"
"deposit return","returnables"
"bleach","general"
"noodles","general"
"jam","plastic"
"reservation","general"
"calzone","general"
"cards","card"
"breakfast cereal","card"
"sourcream","plastic"
"salad","compast"
"figurine","general"
"sandwich","card"
"baking paper","general"
"clothes softener","plastic"
"fudge","general"
"fruit","compast"
"pepper","compast"
"guacamole","plastic"
"ice cream","general"
"roll","general"
"pie","general"
"toilet freshener","general"
"gherkins","plastic"
"cauliflower","compast"
"pasatta","card"
"gherkin","plastic"
"soya meat","general"
"bag","general"
"peanut butter","plastic"
"pears","compast"
"macaroni","general"
"ravioli","plastic"
"toilet paper","card"
"washing up liquid","plastic"
"bagel","general"
"pitabread","general"
"apple","general"
"sugar snaps","general"
"mustard","plastic"
"oat sourcream","plastic"
"shoes","general"
"mushroom starter kit","card"
"pancake waffle mix","general"
"syrup","card"
"potatoes","compast"
"reflectors","general"
"cup","general"
"string","general"
"decoration","general"
"trousers","general"
"cosmetics","plastic"
"torch","plastic"
"puzzle","card"
"socks","general"
"box","card"
"vegetable","compast"
